id;code;date;details;status;payment_method;payment_date;payment_amount
1;questioningly;2025-05-04T22:51:18;svelte;PAID;PAYPAL;2025-05-05T14:45:33;26358.75
2;or primary gift;2025-05-05T02:16:21;crocodile bitterly;PAID;PAYPAL;2025-05-05T14:20:30;22723.65
3;boohoo stratify;2025-05-05T20:54:01;fray consequently gazebo;CANCELLED;CREDIT_CARD;2025-05-05T03:37:28;9656.28
4;yellowish afterwards;2025-05-05T18:46:45;arid upward likewise;PAID;CREDIT_CARD;2025-05-05T17:59:40;22272.48
5;closely;2025-05-05T01:45:00;brown notwithstanding;ISSUED;PAYPAL;2025-05-05T17:52:24;10188.42
6;grade apud symbolise;2025-05-05T08:27:24;gee intently;ISSUED;CREDIT_CARD;2025-05-04T23:04:44;19444.46
7;quintessential;2025-05-05T20:34:34;broadcast whoever conversation;ISSUED;CREDIT_CARD;2025-05-05T08:48:53;11997.53
8;pro stealthily kiddingly;2025-05-05T15:46:41;after kooky;CANCELLED;CREDIT_CARD;2025-05-05T08:00:34;12772.11
9;so lest;2025-05-05T05:11:46;gosh;CANCELLED;CREDIT_CARD;2025-05-04T22:54:05;29193.15
10;ah crushing;2025-05-05T07:26:35;scornful version;CANCELLED;PAYPAL;2025-05-04T22:06:56;28858.22
