id;tracking_code;date;details;invoice_id
1;versus;2025-05-05T03:15:40;chubby;1
2;floodlight bleak yearn;2025-05-05T09:28:43;despite;2
3;peter;2025-05-05T00:51:26;stay definite excluding;3
4;oof;2025-05-05T12:30:27;separate furthermore numb;4
5;gloom vast fellow;2025-05-05T06:11:18;drat;5
6;quirkily;2025-05-04T22:50:48;bah phooey unto;6
7;jiggle mechanically;2025-05-05T21:52:20;siege yawningly;7
8;fervently extent blah;2025-05-04T22:55:50;uh-huh;8
9;yet inculcate meanwhile;2025-05-04T22:05:04;overconfidently helpfully;9
10;suspension;2025-05-05T11:35:53;pure ack;10
