id;name;description;price;item_size;image;image_content_type
1;tricky;psst emerge;30974.7;S;../fake-data/blob/hipster.png;image/png
2;acidly amidst despite;devise;16796.21;XL;../fake-data/blob/hipster.png;image/png
3;impartial besides whenever;now yippee;20070.5;XXL;../fake-data/blob/hipster.png;image/png
4;on;roundabout for;1617.49;M;../fake-data/blob/hipster.png;image/png
5;yippee pish submitter;provided following while;5485.7;L;../fake-data/blob/hipster.png;image/png
6;huzzah;athwart;28589.19;XXL;../fake-data/blob/hipster.png;image/png
7;beyond;under spellcheck scaffold;31656.05;S;../fake-data/blob/hipster.png;image/png
8;adjourn in though;as;29522.66;XXL;../fake-data/blob/hipster.png;image/png
9;under;sin;25832.08;XL;../fake-data/blob/hipster.png;image/png
10;truthfully joyously boo;upon westernise;25069.55;XL;../fake-data/blob/hipster.png;image/png
