id;placed_date;status;code;invoice_id;customer
1;2025-05-05T05:44:18;COMPLETED;scary wherever whose;19336;eek
2;2025-05-04T22:43:24;CANCELLED;physically;520;edge wretched
3;2025-05-05T14:59:59;COMPLETED;hence readmit;20778;draw apud
4;2025-05-05T15:33:47;COMPLETED;barring;2129;than
5;2025-05-05T04:45:17;COMPLETED;phew;981;phooey
6;2025-05-05T04:40:03;PENDING;utterly wisecrack aw;22957;hmph
7;2025-05-04T23:46:18;PENDING;off;16915;yum times if
8;2025-05-05T09:43:10;PENDING;slap;12592;subtract finally
9;2025-05-05T16:07:45;PENDING;onto loaf gee;16363;supposing
10;2025-05-05T11:56:57;CANCELLED;unimportant hmph recklessly;4172;clean rectangular
